idhogar,Id,v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q,v18q1,escolari,rez_esc,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,pisomoscer,pisocemento,pisonotiene,pisomadera,techozinc,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu5,epared1,epared2,etecho1,etecho2,eviv1,eviv2,dis,female,parentesco1,hogar_nin,hogar_adul,hogar_mayor,hogar_total,edjefe,edjefa,meaneduc,instlevel6,instlevel7,instlevel9,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,mobilephone,qmobilephone,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,age,paga_arriendo,tiene_retraso,ed_jefe_final,sin_jefe_educado,Target
01d2e2b0b,ID_3a7e757d3,0.0,0,4,0,1,1,0,0.0,4.666666666666667,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,2.0,1.0,0.0,3.0,0,6,6.0,1,0,0,2,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.0,0,1,6,0,1
01ff6a086,ID_f79387448,0.0,0,5,0,1,1,0,0.0,2.5,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0.0,2.0,2.0,2.0,5,0,2.5,0,0,0,2,1.0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,65.5,0,0,5,0,0
020713493,ID_34570a74c,0.0,0,7,0,1,1,0,0.0,6.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0.0,1.0,1.0,1.0,0,6,6.0,0,0,0,2,0.5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,72.0,0,0,6,0,0
023edfed0,ID_fc2eaa50e,84529.0,0,3,0,1,1,0,0.0,6.666666666666667,0.0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2.0,0.0,3.0,0,9,10.0,0,0,0,2,1.5,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,16.666666666666668,1,0,9,0,0
0250e0b59,ID_bac04150a,0.0,0,9,0,1,1,1,2.0,17.333333333333332,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,3.0,2.0,3.0,17,0,17.333334,0,0,1,5,0.60000002,1,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,61.0,0,0,17,0,0
029f3d736,ID_dde5a2407,0.0,0,4,0,1,1,0,0.0,7.5,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1.0,3.0,1.0,4.0,6,0,10.0,0,0,0,2,2.0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,33.5,0,0,6,0,0
02a3da971,ID_bf8a5c633,0.0,0,5,0,1,1,0,0.0,6.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.0,2.0,1.0,2.0,0,6,6.0,0,0,0,3,0.66666669,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,52.5,0,0,6,0,1
02f34e26c,ID_aae586b17,0.0,0,6,0,1,1,0,0.0,5.333333333333333,0.0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2.0,4.0,0.0,6.0,0,6,8.0,0,0,0,4,1.5,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,29.5,0,0,6,0,1
035bb4b72,ID_e75e4839f,0.0,0,6,0,1,1,1,2.0,10.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.0,4.0,0.0,6.0,15,0,12.75,0,0,0,4,1.5,1,0,0,0,0,0,1,1,5,1,0,0,0,0,0,1,29.0,0,1,15,0,0
0369a5d78,ID_f012e4242,160000.0,0,6,0,1,1,1,1.0,9.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1.0,2.0,0.0,3.0,11,0,13.5,0,0,0,2,1.5,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,1,28.333333333333332,1,0,11,0,0
039745cbe,ID_d68179c3b,0.0,0,5,0,1,1,1,1.0,7.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1.0,2.0,0.0,3.0,0,14,10.0,0,0,0,3,1.0,0,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,34.666666666666664,0,1,14,0,0
03b23f2b1,ID_e15ee7e1b,0.0,0,5,0,1,1,1,1.0,9.75,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1.0,3.0,0.0,4.0,13,0,13.0,0,0,0,2,2.0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,28.5,0,0,13,0,0
03c6bdf85,ID_ebef0991f,58731.0,0,3,0,1,1,0,0.0,3.0,0.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3.0,2.0,0.0,5.0,5,0,7.0,0,0,0,2,2.5,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,0,10.0,1,1,5,0,0
03c78a7a9,ID_ccb01db70,0.0,0,5,0,1,1,0,0.0,8.5,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,4.0,2.0,4.0,11,0,8.5,0,0,0,3,1.3333334,1,0,0,0,0,1,0,1,4,1,0,0,0,0,0,1,64.0,0,0,11,0,0
03f00ec52,ID_a7175ea6a,0.0,0,3,0,1,1,1,1.0,6.666666666666667,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1.0,2.0,0.0,3.0,9,0,10.0,1,0,0,1,3.0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,26.333333333333332,0,1,9,0,0
03f4e5f4d,ID_dacc27817,0.0,0,5,0,1,1,0,0.0,9.666666666666666,0.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1.0,2.0,0.0,3.0,0,6,14.5,0,1,0,3,1.0,1,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,33.333333333333336,0,0,6,0,1
043cef77c,ID_cebb6c1a2,0.0,0,3,0,1,1,0,0.0,6.5,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1.0,1.0,0.0,2.0,0,6,6.0,0,0,0,1,2.0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,28.0,0,1,6,0,0
045038655,ID_74e989389,0.0,0,4,0,1,1,0,0.0,6.0,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0.0,1.0,0.0,1.0,0,6,6.0,0,0,0,2,0.5,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,62.0,0,0,6,0,0
048d64af0,ID_fe7cc1007,0.0,0,7,0,1,1,0,0.0,12.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,2.0,0.0,2.0,0,11,12.0,0,0,0,4,1.0,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,36.5,0,0,11,0,0
04a8915f6,ID_facf05eab,0.0,0,5,0,1,1,1,1.0,6.833333333333333,0.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.0,4.0,0.0,6.0,0,11,9.75,0,0,0,3,2.0,0,0,0,0,1,1,0,1,4,1,0,0,0,0,0,1,28.333333333333332,0,1,11,0,0
04b02301b,ID_af47ee124,0.0,0,11,0,1,1,1,2.0,11.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,3.0,1.0,3.0,0,6,11.0,0,0,0,4,0.75,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,44.333333333333336,0,0,6,0,0
04b0f3f3a,ID_d3bc0e8b0,0.0,0,7,0,1,1,0,0.0,9.333333333333334,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,3.0,0.0,3.0,6,0,9.333333,0,0,0,4,0.75,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,1,40.666666666666664,0,0,6,0,0
04d8420a2,ID_5154f496a,100000.0,0,4,0,1,1,0,0.0,6.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2.0,0.0,3.0,9,0,6.5,1,0,0,2,1.5,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,1,36.0,1,1,9,0,0
0511912b6,ID_e9478911c,0.0,0,6,0,1,1,1,1.0,12.75,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0.0,4.0,0.0,4.0,13,0,12.75,0,0,0,3,1.3333334,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,41.5,0,0,13,0,0
0519a23f5,ID_814e836f9,0.0,0,4,0,1,1,0,0.0,6.0,0.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1.0,2.0,0.0,3.0,1,0,3.5,0,0,0,2,1.5,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,38.333333333333336,0,1,1,0,0
051f67b16,ID_fcd8aed01,0.0,0,5,0,1,1,0,0.0,7.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1.0,3.0,1.0,4.0,6,0,7.666666499999999,0,0,0,3,1.3333334,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,47.25,0,1,6,0,0
052da118c,ID_725cc25be,0.0,0,4,0,1,0,0,0.0,6.0,0.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,6,0,6.0,0,0,0,2,0.5,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,24.0,0,0,6,0,0
054074f61,ID_dd6b64498,150000.0,0,5,0,1,1,1,1.0,6.833333333333333,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3.0,0.0,6.0,0,11,13.333332999999998,0,0,0,3,2.0,0,0,1,0,0,0,0,1,5,1,0,0,0,0,0,1,21.166666666666668,1,1,11,0,0
0564f49cd,ID_fad0bbb1c,0.0,0,6,0,1,1,1,1.0,10.666666666666666,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2.0,0.0,3.0,0,15,14.5,0,0,0,3,1.0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,33.666666666666664,0,1,15,0,0
0566c116a,ID_52c400563,0.0,0,4,0,1,1,0,0.0,10.0,0.0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0.0,2.0,0.0,2.0,0,9,10.0,0,0,0,2,1.0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,32.5,0,0,9,0,1
058a60804,ID_b6238a66c,110000.0,0,5,0,1,1,1,1.0,10.25,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.0,2.0,0.0,4.0,12,0,14.5,0,0,0,3,1.3333334,0,1,0,0,0,0,1,1,4,1,0,0,0,0,0,0,28.25,1,1,12,0,0
0592dc939,ID_dbcd9f50d,0.0,0,10,0,1,1,1,3.0,2.857142857142857,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3.0,4.0,1.0,7.0,6,0,4.5,0,0,0,6,1.8333334,1,0,0,0,0,0,1,1,10,1,0,0,0,0,0,1,23.857142857142858,0,1,6,0,0
05aef4eec,ID_f5f6d382f,85000.0,0,4,0,1,1,0,0.0,5.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,3.0,2.0,0.0,5.0,0,8,9.5,0,0,0,2,2.5,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,1,17.8,1,1,8,0,1
05b0d51e9,ID_42930cc34,0.0,0,4,0,1,0,0,0.0,3.5,0.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1.0,1.0,0.0,2.0,0,7,7.0,0,0,0,2,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,11.5,0,0,7,0,1
05e1d4a10,ID_9e6dbaf2b,0.0,0,4,0,1,1,0,0.0,4.666666666666667,0.0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,2.0,1.0,0.0,3.0,0,9,9.0,0,0,0,2,1.5,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,17.0,0,1,9,0,1
05e6eeead,ID_b3eaa4a16,60000.0,0,1,0,1,0,0,0.0,5.5,0.0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,2.0,0,0,5.5,0,0,0,1,2.0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,23.5,1,0,0,1,0
05eff3d5c,ID_e9b821d5a,45000.0,0,5,0,1,1,0,0.0,6.0,0.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.0,4.0,0.0,6.0,0,6,9.0,0,0,0,3,2.0,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,1,22.166666666666668,1,0,6,0,1
060027579,ID_b75d7c648,0.0,0,4,0,1,1,1,1.0,9.0,0.0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2.0,0.0,3.0,0,7,9.0,0,0,0,2,1.5,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,33.666666666666664,0,1,7,0,0
0605671a3,ID_d39e85877,320000.0,0,4,0,1,1,0,0.0,12.0,0.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,3.0,0.0,3.0,14,0,12.0,0,1,0,2,1.5,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,50.333333333333336,1,0,14,0,0
0609006f6,ID_fb17eb668,0.0,0,4,0,1,1,0,0.0,2.5,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0.0,2.0,2.0,2.0,3,0,2.5,0,0,0,2,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78.0,0,0,3,0,0
06325b3e6,ID_ed8849f44,0.0,0,5,0,1,1,1,2.0,9.5,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,3.0,1.0,4.0,16,0,12.333333,0,0,0,3,1.3333334,1,0,0,0,0,1,1,1,3,0,0,0,0,1,0,0,40.75,0,1,16,0,0
0667ebc47,ID_ef2e60fe1,170000.0,0,2,0,1,1,0,0.0,11.0,0.0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,2.0,0,16,16.0,0,0,0,1,2.0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,21.5,1,1,16,0,0
0681b11c9,ID_30e89e9ca,0.0,0,4,0,1,1,0,0.0,11.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,1.0,0.0,1.0,0,11,11.0,0,0,0,2,0.5,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,57.0,0,0,11,0,0
06ca88023,ID_d14d932df,0.0,1,3,1,1,1,0,0.0,2.0,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,7.0,2.0,0.0,9.0,0,5,7.5,0,0,0,2,4.5,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,12.777777777777779,0,1,5,0,1
06dba0576,ID_af468550d,120000.0,0,4,0,1,1,0,0.0,5.4,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2.0,3.0,0.0,5.0,11,0,9.0,0,0,0,2,2.5,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,19.6,1,1,11,0,0
070cdf915,ID_a2fe1bfd5,0.0,0,4,0,1,1,0,0.0,6.666666666666667,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,3.0,0.0,3.0,0,4,6.666666499999999,0,0,0,2,1.5,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,39.0,0,0,4,0,0
07102d194,ID_c39fbbff1,0.0,0,8,0,1,1,0,0.0,11.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0.0,5.0,0.0,5.0,0,9,11.0,0,0,0,6,0.83333331,1,0,0,0,0,1,1,1,4,1,0,0,0,0,0,1,37.6,0,0,9,0,0
077941bc7,ID_bb216fb96,0.0,0,6,0,1,1,1,2.0,4.25,1.0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,2.0,2.0,0.0,4.0,6,0,6.0,0,0,0,2,2.0,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,1,23.25,0,1,6,0,1
078a0b6e2,ID_ef35f8b5e,0.0,0,4,0,1,1,0,0.0,3.75,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,3.0,1.0,0.0,4.0,0,5,5.0,0,0,0,2,2.0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,18.25,0,1,5,0,1
07a5de1ba,ID_f3583bbf7,100000.0,0,3,0,1,1,0,0.0,8.0,1.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.0,1.0,0.0,3.0,0,8,8.0,0,0,0,1,3.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,23.333333333333332,1,1,8,0,0
07a6cc87c,ID_d986a73cc,0.0,0,4,0,1,1,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0.0,2.0,2.0,2.0,0,0,0.0,0,0,0,2,1.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,74.5,0,0,0,1,1
07d417b1c,ID_ec272de2a,0.0,0,6,0,1,1,1,1.0,6.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,2.0,3.0,0.0,5.0,0,11,8.333333,0,0,0,3,1.6666666,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,26.4,0,1,11,0,0
