Year,life_expectancy,adult_mortality,alcohol,health_exp_pct_gdp,measles,bmi,gov_health_exp_pct,population,hdi_income,schooling,develop_status,id,log_hiv_aids,log_gdp_per_capita,thinness_avg,vaccination_index,postneonatal_deaths
2004,72.3,14.0,0.45,220.393699,3289,47.9,3.54,3283196.0,0.673,11.7,0,Algeria_2004,0.09531017980432487,7.863259916294093,6.15,84.33333333333333,4
2003,71.7,146.0,0.34,25.0185226,15374,47.0,3.6,3243514.0,0.663,11.5,0,Algeria_2003,0.09531017980432487,5.688112201411935,6.199999999999999,81.66666666666667,3
2002,71.6,145.0,0.36,148.5119843,5862,46.1,3.73,3199546.0,0.653,11.1,0,Algeria_2002,0.09531017980432487,7.481745390959664,6.25,83.0,3
2001,71.4,145.0,0.23,147.9860714,2686,45.3,3.84,31592153.0,0.644,10.9,0,Algeria_2001,0.09531017980432487,7.4581042502953085,6.35,87.0,4
2000,71.3,145.0,0.25,154.4559436,0,44.4,3.49,3118366.0,0.636,10.7,0,Algeria_2000,0.09531017980432487,7.472033307478495,6.45,60.0,4
2015,52.4,335.0,8.33,23.965612,118,23.3,3.96,2785935.0,0.531,11.4,0,Angola_2015,1.0647107369924282,8.215221168362245,8.25,45.0,32
2014,51.7,348.0,8.33,23.965612,11699,22.7,3.31,2692466.0,0.527,11.4,0,Angola_2014,1.0986122886681098,6.17443639241852,8.4,65.33333333333333,34
2013,51.1,355.0,8.1,35.95857279,8523,22.1,4.26,2599834.0,0.523,11.4,0,Angola_2013,1.1939224684724346,6.185420008498344,8.55,73.66666666666667,36
2012,56.0,358.0,8.24,256.1225243,4458,21.5,3.3,259615.0,0.508,10.3,0,Angola_2012,1.2809338454620642,8.433648523096771,8.7,75.0,38
2011,51.0,361.0,8.06,239.8913921,1449,21.0,3.38,24218565.0,0.495,9.4,0,Angola_2011,1.252762968495368,8.366400275651035,8.850000000000001,72.0,40
2010,49.6,365.0,7.8,191.6537407,1190,2.4,3.39,23369131.0,0.488,9.0,0,Angola_2010,1.252762968495368,8.169204645533457,9.05,78.33333333333333,43
2009,49.1,369.0,7.01,212.9229325,2807,19.8,4.37,22549547.0,0.48,8.5,0,Angola_2009,1.252762968495368,8.116370744459195,9.25,43.333333333333336,46
2008,48.7,371.0,7.07,249.9101958,265,19.3,3.84,2175942.0,0.468,8.1,0,Angola_2008,1.2809338454620642,8.260900964340689,9.45,67.66666666666667,49
2007,48.2,375.0,6.35,184.8213446,1014,18.8,3.38,2997687.0,0.454,7.7,0,Angola_2007,1.2809338454620642,7.965489024308915,9.6,73.66666666666667,51
2006,47.7,381.0,5.84,25.08688824,765,18.2,4.54,2262399.0,0.439,7.2,0,Angola_2006,1.252762968495368,5.57373130094313,9.75,36.333333333333336,53
2005,47.4,382.0,5.04,98.19145117,258,17.7,4.1,19552542.0,0.426,6.8,0,Angola_2005,1.2809338454620642,7.275859015063806,5.45,38.666666666666664,56
2004,47.1,386.0,3.53,8.8667775,29,17.2,4.71,18865716.0,0.415,6.4,0,Angola_2004,1.252762968495368,4.961924206800165,1.15,8.333333333333334,58
2003,46.8,388.0,3.49,35.93349121,1196,16.8,4.41,1823369.0,0.406,5.9,0,Angola_2003,1.2237754316221157,6.659894195892075,1.35,8.333333333333334,60
2002,46.5,391.0,2.82,24.037942,11945,16.3,3.63,17572649.0,0.401,5.5,0,Angola_2002,1.1939224684724346,6.568333097950245,1.5,39.0,61
2001,45.7,44.0,2.58,30.35993647,9046,15.8,5.38,16983266.0,0.391,5.1,0,Angola_2001,1.1314021114911006,6.267520692735661,1.7,47.666666666666664,62
2000,45.3,48.0,1.85,15.88149254,2219,15.4,2.79,1644924.0,0.382,4.6,0,Angola_2000,1.0986122886681098,6.321302219852404,1.9,13.0,63
2015,76.4,13.0,8.56,2422.999774,0,47.7,7.57,89560.0,0.784,13.9,0,Antigua and Barbuda_2015,0.18232155679395465,9.515465975066057,3.3,94.66666666666667,0
2014,76.2,131.0,8.56,2422.999774,0,47.0,5.54,88650.0,0.782,13.9,0,Antigua and Barbuda_2014,0.18232155679395465,9.46415253044146,3.3,98.0,0
2013,76.1,133.0,8.58,1991.430372,0,46.4,5.33,87706.0,0.781,13.9,0,Antigua and Barbuda_2013,0.18232155679395465,9.411308999779358,3.3,98.66666666666667,0
2012,75.9,134.0,8.18,2156.229842,0,45.7,5.39,86729.0,0.778,13.8,0,Antigua and Barbuda_2012,0.18232155679395465,9.438785204236783,3.3,97.66666666666667,0
2011,75.7,136.0,7.84,1810.875316,0,45.1,5.65,85739.0,0.782,14.1,0,Antigua and Barbuda_2011,0.09531017980432487,9.386840844921688,3.3,99.0,0
2010,75.6,138.0,7.84,1983.956937,0,44.4,5.63,84744.0,0.783,14.1,0,Antigua and Barbuda_2010,0.09531017980432487,9.403261895099131,3.3,98.33333333333333,0
2009,75.4,14.0,7.82,149.3587355,0,43.8,4.86,83761.0,0.788,14.2,0,Antigua and Barbuda_2009,0.09531017980432487,7.180425424187216,3.3499999999999996,98.33333333333333,0
2008,75.2,142.0,8.27,180.7762695,0,43.2,4.69,82786.0,0.786,14.4,0,Antigua and Barbuda_2008,0.09531017980432487,7.295951623248969,3.3499999999999996,98.66666666666667,0
2007,75.0,144.0,8.64,257.9665308,0,42.6,4.27,81831.0,0.781,14.5,0,Antigua and Barbuda_2007,0.09531017980432487,9.564743353361457,3.3499999999999996,98.0,0
2006,74.8,145.0,8.93,216.3146941,0,42.0,4.34,80884.0,0.773,14.7,0,Antigua and Barbuda_2006,0.09531017980432487,9.451354785537198,3.4,99.0,0
2005,74.6,147.0,8.15,1455.608186,0,41.4,4.41,79941.0,0.773,0.0,0,Antigua and Barbuda_2005,0.09531017980432487,9.33899203619325,3.45,98.66666666666667,0
2004,74.4,149.0,7.28,22.86295206,0,4.8,4.21,79033.0,0.77,0.0,0,Antigua and Barbuda_2004,0.09531017980432487,7.210698357634711,3.45,97.0,0
2003,74.2,151.0,7.16,1158.065259,0,4.1,4.53,78131.0,0.72,0.0,0,Antigua and Barbuda_2003,0.09531017980432487,9.184081152798269,3.5,99.0,0
2002,74.0,153.0,7.21,927.4075855,0,39.5,4.41,77204.0,0.72,0.0,0,Antigua and Barbuda_2002,0.09531017980432487,9.147157353276612,3.55,96.66666666666667,0
2001,73.8,154.0,7.51,163.7676978,0,38.9,4.48,76213.0,0.72,0.0,0,Antigua and Barbuda_2001,0.09531017980432487,9.144110198080574,3.55,97.33333333333333,0
2000,73.6,156.0,7.27,1127.74347,0,38.2,4.13,75056.0,0.72,0.0,0,Antigua and Barbuda_2000,0.09531017980432487,9.19787922700169,3.6500000000000004,95.66666666666667,0
2015,76.3,116.0,7.93,847.3717463,0,62.8,4.79,43417765.0,0.826,17.3,0,Argentina_2015,0.09531017980432487,9.508080957548032,0.95,93.66666666666667,1
2014,76.2,118.0,7.93,847.3717463,1,62.2,4.79,42981515.0,0.825,17.3,0,Argentina_2014,0.09531017980432487,9.412975573350558,0.95,93.33333333333333,1
2013,76.0,119.0,8.28,1001.796332,0,61.6,4.99,42539925.0,0.823,17.3,0,Argentina_2013,0.09531017980432487,9.470982879686202,0.95,95.66666666666667,2
2012,75.9,12.0,8.35,1133.558003,2,61.0,5.2,4296739.0,0.822,17.2,0,Argentina_2012,0.09531017980432487,9.47045373583578,0.95,93.66666666666667,1
2011,75.7,12.0,8.11,1504.329462,3,6.4,5.89,41656879.0,0.816,17.1,0,Argentina_2011,0.09531017980432487,9.451558281518993,0.95,91.66666666666667,1
2010,75.5,121.0,8.15,187.610955,17,59.8,6.55,41223889.0,0.802,16.8,0,Argentina_2010,0.09531017980432487,7.152476352123157,0.95,94.33333333333333,1
2009,75.6,126.0,8.33,1398.042623,3,59.2,7.63,479947.0,0.794,16.5,0,Argentina_2009,0.09531017980432487,9.007289805310181,0.95,95.0,1
2008,75.4,126.0,8.41,1413.73543,0,58.6,6.66,4382389.0,0.792,16.3,0,Argentina_2008,0.09531017980432487,9.099895762521296,0.95,65.33333333333333,1
2007,74.8,129.0,8.16,1105.659031,0,58.0,6.49,3997224.0,0.788,16.3,0,Argentina_2007,0.09531017980432487,8.881088475449316,1.0,89.33333333333333,2
2006,75.2,127.0,7.75,961.1774676,0,57.5,6.68,3955889.0,0.782,16.1,0,Argentina_2006,0.09531017980432487,8.679271439728321,1.0,89.0,1
2005,74.9,127.0,7.53,96.16653429,0,56.9,6.85,39145488.0,0.78,16.3,0,Argentina_2005,0.09531017980432487,6.359372860582331,1.05,93.66666666666667,1
2004,74.7,13.0,7.63,719.3663797,0,56.3,6.84,38728696.0,0.775,16.3,0,Argentina_2004,0.09531017980432487,8.355279807479912,1.05,90.0,1
2003,74.1,137.0,7.62,57.58467352,0,55.7,8.22,3839379.0,0.77,16.4,0,Argentina_2003,0.09531017980432487,5.812450315081009,1.1,88.0,2
2002,74.1,138.0,7.81,470.1869145,0,55.1,8.31,3788937.0,0.776,16.3,0,Argentina_2002,0.09531017980432487,7.855619546430775,1.1,84.33333333333333,1
2001,74.0,138.0,7.76,123.0128671,0,54.6,9.38,3747159.0,0.771,15.6,0,Argentina_2001,0.09531017980432487,6.577436613844461,1.15,84.33333333333333,1
2000,74.1,137.0,7.68,1349.025282,6,54.0,9.21,3757452.0,0.764,15.0,0,Argentina_2000,0.09531017980432487,8.945107606370296,1.15,85.66666666666667,2
2015,74.8,118.0,3.91,295.6087143,33,54.9,5.66,291695.0,0.741,12.7,0,Armenia_2015,0.09531017980432487,5.915271106491181,2.1500000000000004,94.66666666666667,0
2014,74.6,12.0,3.91,295.6087143,13,54.1,4.48,29622.0,0.739,12.7,0,Armenia_2014,0.09531017980432487,8.292977153944294,2.1,93.66666666666667,0
2013,74.4,123.0,3.79,279.4290812,10,53.3,4.55,289359.0,0.736,12.7,0,Armenia_2013,0.09531017980432487,8.254422559772788,2.1,95.33333333333333,0
2012,74.4,121.0,3.89,274.1526986,0,52.6,4.48,2881922.0,0.732,12.7,0,Armenia_2012,0.09531017980432487,8.212255927396892,2.05,95.33333333333333,0
2011,73.9,128.0,4.09,260.9963826,0,51.9,3.71,2875581.0,0.729,12.7,0,Armenia_2011,0.09531017980432487,8.168480221812706,2.05,95.33333333333333,0
2010,73.5,132.0,4.23,224.3212014,2,51.2,4.56,2877311.0,0.72,12.3,0,Armenia_2010,0.09531017980432487,8.076944587489136,2.05,94.66666666666667,0
2009,73.3,137.0,3.96,201.1855461,0,5.7,4.55,2888584.0,0.725,11.9,0,Armenia_2009,0.09531017980432487,8.004643592792524,2.05,93.33333333333333,0
2008,73.2,14.0,3.96,2.8888979,0,5.1,3.8,29822.0,0.721,12.3,0,Armenia_2008,0.09531017980432487,3.744076904855239,2.05,89.66666666666667,0
2007,73.5,132.0,3.99,44.57219966,1,49.7,4.31,293356.0,0.707,11.7,0,Armenia_2007,0.09531017980432487,8.051942186538431,2.05,60.666666666666664,0
2006,72.9,141.0,4.01,244.5352767,137,49.2,4.58,29585.0,0.692,11.2,0,Armenia_2006,0.09531017980432487,7.677538910967633,2.05,84.0,0
2005,73.0,137.0,4.25,20.21822828,2281,48.8,5.25,2981259.0,0.679,10.9,0,Armenia_2005,0.09531017980432487,7.405348781288232,2.05,64.0,0
2004,73.0,132.0,3.81,97.74087744,1783,48.4,5.5,3612.0,0.668,10.9,0,Armenia_2004,0.09531017980432487,7.084194502057882,2.05,91.66666666666667,0
2003,72.7,134.0,3.03,7.341493148,4,48.1,5.56,31786.0,0.657,10.8,0,Armenia_2003,0.09531017980432487,4.5450608463285,2.05,94.33333333333333,0
2002,72.6,134.0,2.86,57.17810403,40,47.8,5.4,333897.0,0.645,10.8,0,Armenia_2002,0.09531017980432487,6.664742764396565,2.1,93.66666666666667,0
2001,72.6,141.0,2.86,53.19373012,69,47.4,5.94,35655.0,0.644,11.1,0,Armenia_2001,0.09531017980432487,6.544537720168012,2.1,86.66666666666667,0
2000,72.0,142.0,2.9,32.75626853,15,47.1,6.25,369588.0,0.639,11.2,0,Armenia_2000,0.09531017980432487,6.435738020064267,2.1500000000000004,81.33333333333333,0
2015,82.8,59.0,9.71,10769.36305,74,66.6,9.57,23789338.0,0.937,20.4,1,Australia_2015,0.09531017980432487,10.942975748447434,0.6,93.0,0
2014,82.7,6.0,9.71,10769.36305,340,66.1,9.42,2346694.0,0.936,20.4,1,Australia_2014,0.09531017980432487,11.038362517008984,0.6,91.66666666666667,0
2013,82.5,61.0,9.87,11734.85381,158,65.5,9.36,23117353.0,0.933,20.3,1,Australia_2013,0.09531017980432487,11.124219218364104,0.6,91.0,0
2012,82.3,61.0,10.03,11714.99858,199,65.0,9.36,22728254.0,0.93,20.1,1,Australia_2012,0.09531017980432487,11.12252582223859,0.6,91.66666666666667,0
2011,82.0,63.0,10.3,10986.26527,190,64.4,9.2,223424.0,0.927,19.8,1,Australia_2011,0.09531017980432487,11.038851627654447,0.6,92.0,0
2010,81.9,64.0,10.52,8875.786493,70,63.9,9.2,223175.0,0.927,19.5,1,Australia_2010,0.09531017980432487,10.85660860438734,0.6499999999999999,92.0,0
2009,81.7,66.0,10.62,7172.275229,104,63.4,9.5,216917.0,0.925,19.1,1,Australia_2009,0.09531017980432487,10.662984089774609,0.6499999999999999,92.66666666666667,0
2008,81.3,66.0,10.76,8547.292357,65,62.9,8.78,212492.0,0.921,19.1,1,Australia_2008,0.09531017980432487,10.813069539017334,0.6499999999999999,92.66666666666667,0
2007,81.3,66.0,10.56,872.5986092,11,62.5,8.53,28276.0,0.918,19.0,1,Australia_2007,0.09531017980432487,8.515788783697221,0.6499999999999999,92.66666666666667,1
2006,81.2,66.0,10.31,6187.062017,0,62.0,8.49,26979.0,0.915,20.3,1,Australia_2006,0.09531017980432487,10.494582179261252,0.6499999999999999,93.0,1
2005,81.0,67.0,10.3,579.1331637,10,61.5,8.45,23948.0,0.91,20.3,1,Australia_2005,0.09531017980432487,8.136727428363427,0.6499999999999999,93.0,1
2004,86.0,69.0,9.84,588.568371,70,6.9,8.57,21274.0,0.908,20.7,1,Australia_2004,0.09531017980432487,8.152883396031644,0.6499999999999999,93.0,0
2003,83.0,71.0,9.97,3829.550928,91,6.3,8.32,198954.0,0.905,20.6,1,Australia_2003,0.09531017980432487,10.063324275707428,0.7,93.33333333333333,0
2002,79.9,73.0,9.84,46.3871819,32,59.6,8.39,196514.0,0.902,20.1,1,Australia_2002,0.09531017980432487,5.644802272956251,0.7,93.0,1
2001,79.9,75.0,9.53,3064.301144,141,59.0,8.18,19413.0,0.899,20.5,1,Australia_2001,0.09531017980432487,9.879135518042451,0.7,92.33333333333333,1
2000,79.5,78.0,10.17,347.18736,108,58.2,8.8,19153.0,0.897,20.4,1,Australia_2000,0.09531017980432487,7.682906780455265,0.7,8.666666666666666,1
2015,81.5,65.0,12.32,8350.193523,309,57.6,11.25,8633169.0,0.892,15.9,1,Austria_2015,0.09531017980432487,10.6843467333419,2.0,93.0,0
2014,81.4,66.0,12.32,8350.193523,117,57.1,11.21,8541575.0,0.892,15.9,1,Austria_2014,0.09531017980432487,10.84590674314345,1.9,98.0,0
2013,81.1,68.0,11.82,90.58501176,0,56.6,11.14,8479375.0,0.887,15.7,1,Austria_2013,0.09531017980432487,6.320256148737966,1.9,95.0,0
2012,88.0,7.0,12.26,7878.372355,36,56.1,11.17,8429991.0,0.884,15.7,1,Austria_2012,0.09531017980432487,10.785902375095489,1.9,92.0,0
2011,88.0,73.0,12.04,8272.306757,68,55.7,1.94,8391643.0,0.88,15.7,1,Austria_2011,0.09531017980432487,10.842082513227824,1.85,89.0,0
2010,84.0,75.0,12.1,7423.228774,52,55.2,11.17,836344.0,0.872,15.4,1,Austria_2010,0.09531017980432487,10.750613162374773,1.7999999999999998,86.0,0
2009,82.0,77.0,11.3,8053.557638,49,54.7,11.19,8343323.0,0.87,15.3,1,Austria_2009,0.09531017980432487,10.771746763808034,1.7999999999999998,83.0,0
2008,84.0,76.0,12.0,8329.731655,448,54.2,1.6,8321496.0,0.864,15.1,1,Austria_2008,0.09531017980432487,10.847147830814054,1.7999999999999998,83.0,0
2007,81.0,8.0,12.5,7453.8644,20,53.7,1.4,8295487.0,0.86,15.2,1,Austria_2007,0.09531017980432487,10.749090817192405,1.7999999999999998,85.0,0
2006,79.8,81.0,12.4,69.92899358,23,53.2,1.35,8268641.0,0.854,15.0,1,Austria_2006,0.09531017980432487,6.098059922512579,1.7999999999999998,83.0,0
2005,79.4,85.0,12.4,5992.588029,9,52.7,1.53,8227829.0,0.848,14.9,1,Austria_2005,0.09531017980432487,10.55172693428379,1.7999999999999998,86.0,0
2004,79.3,86.0,12.1,5316.877456,15,52.2,1.56,8171966.0,0.841,14.7,1,Austria_2004,0.09531017980432487,10.510380147849137,1.7999999999999998,83.0,0
2003,78.8,88.0,12.2,504.4308735,90,51.7,1.48,8121423.0,0.837,14.7,1,Austria_2003,0.09531017980432487,8.075251477645555,1.7999999999999998,83.66666666666667,0
2002,78.7,9.0,12.5,3979.057728,0,51.2,1.27,881957.0,0.847,16.1,1,Austria_2002,0.09531017980432487,10.179313708539238,1.7999999999999998,82.0,0
2001,78.6,92.0,12.4,3582.848308,0,5.6,1.12,842293.0,0.837,15.5,1,Austria_2001,0.09531017980432487,10.10605018338659,1.7999999999999998,70.33333333333333,0
2000,78.1,96.0,13.2,3557.455507,0,5.1,1.6,811566.0,0.833,15.4,1,Austria_2000,0.09531017980432487,10.107173728907705,1.7999999999999998,61.666666666666664,0
2015,72.7,118.0,0.01,306.1824313,0,52.5,8.39,9649341.0,0.758,12.7,0,Azerbaijan_2015,0.09531017980432487,4.030939975715361,2.8499999999999996,96.66666666666667,1
2014,72.5,119.0,0.01,306.1824313,0,51.5,6.4,953579.0,0.752,12.2,0,Azerbaijan_2014,0.09531017980432487,8.97364285121583,2.8499999999999996,95.0,1
2013,72.2,121.0,2.14,275.6514934,164,5.6,5.54,941681.0,0.745,11.9,0,Azerbaijan_2013,0.09531017980432487,8.97167154395244,2.8,94.0,1
2012,71.9,123.0,0.01,285.6103912,0,49.7,5.37,9295784.0,0.742,11.8,0,Azerbaijan_2012,0.09531017980432487,8.922303000146385,2.8,89.66666666666667,1
2011,71.6,125.0,1.98,263.142699,0,48.8,5.1,917382.0,0.741,11.7,0,Azerbaijan_2011,0.09531017980432487,8.88054258364633,2.8499999999999996,87.33333333333333,1
2010,71.1,13.0,1.98,246.5686008,0,48.0,5.33,954332.0,0.737,11.7,0,Azerbaijan_2010,0.09531017980432487,8.673146446770469,2.8499999999999996,58.0,1
2009,78.0,132.0,2.1,22.48638351,0,47.3,5.85,8947243.0,0.728,11.6,0,Azerbaijan_2009,0.09531017980432487,6.207170086870373,2.8499999999999996,79.66666666666667,0
2008,73.0,141.0,1.18,206.2616134,5,46.6,4.37,87634.0,0.719,11.6,0,Azerbaijan_2008,0.09531017980432487,8.62616206511284,2.8499999999999996,78.0,0
2007,73.0,14.0,1.02,176.0107106,0,45.9,5.1,85813.0,0.708,11.6,0,Azerbaijan_2007,0.09531017980432487,8.256461439614514,2.8499999999999996,74.0,1
2006,69.2,154.0,0.85,105.6337264,222,45.3,6.17,848455.0,0.682,10.7,0,Azerbaijan_2006,0.09531017980432487,7.8139382026442155,2.9,46.0,1
2005,68.4,162.0,0.73,81.28883085,1238,44.7,7.86,839185.0,0.675,11.2,0,Azerbaijan_2005,0.09531017980432487,7.36481543927772,2.95,67.66666666666667,1
2004,68.4,154.0,0.62,8.59680496,827,44.2,7.92,8365.0,0.668,11.0,0,Azerbaijan_2004,0.09531017980432487,4.985087032209077,3.0,53.333333333333336,2
2003,67.8,154.0,0.55,42.41491183,1978,43.6,6.56,82341.0,0.659,10.8,0,Azerbaijan_2003,0.09531017980432487,6.785185300236318,3.0,69.0,1
2002,67.8,146.0,0.55,39.33253687,4353,43.1,4.47,817195.0,0.651,10.6,0,Azerbaijan_2002,0.09531017980432487,6.639534049934879,3.1,29.666666666666668,2
2001,67.5,151.0,0.51,4.104190077,574,42.6,4.48,81112.0,0.642,10.4,0,Azerbaijan_2001,0.09531017980432487,4.313263782266228,3.1,53.0,2
2000,66.6,16.0,0.65,35.09462644,210,42.1,4.67,8486.0,0.636,10.1,0,Azerbaijan_2000,0.09531017980432487,6.48764494009549,3.1500000000000004,75.33333333333333,2
